ANO,ESTADO,CIDADE,DATA,FERIADO
2022,AC,Manoel Urbano,21/01/2022,Dia Do Católico
2022,AC,Marechal Thaumaturgo,15/04/2022,Sexta-Feira Santa
2022,AC,Manoel Urbano,23/01/2022,Dia Do Evangélico
2022,AC,Marechal Thaumaturgo,21/04/2022,Dia De Tiradentes
2022,AC,Manoel Urbano,28/02/2022,Carnaval
2022,AC,Mâncio Lima,01/01/2022,Ano Novo
2022,AC,Marechal Thaumaturgo,01/05/2022,Dia Do Trabalho
2022,AC,Manoel Urbano,01/03/2022,Carnaval
2022,AC,Mâncio Lima,20/01/2022,Feriado Municipal
2022,AC,Marechal Thaumaturgo,15/06/2022,Aniversário Do Acre
2022,AC,Manoel Urbano,02/03/2022,Carnaval
2022,AC,Mâncio Lima,21/01/2022,Dia Do Católico
2022,AC,Marechal Thaumaturgo,16/06/2022,Corpus Christi
2022,AC,Manoel Urbano,11/03/2022,Dia Da Mulher
2022,AC,Mâncio Lima,23/01/2022,Dia Do Evangélico
2022,AC,Marechal Thaumaturgo,06/08/2022,Revolução Acreana
2022,AC,Manoel Urbano,15/04/2022,Sexta-Feira Santa
2022,AC,Manoel Urbano,21/04/2022,Dia De Tiradentes
2022,AC,Mâncio Lima,28/02/2022,Carnaval
2022,AC,Marechal Thaumaturgo,07/09/2022,Independência Do Brasil
2022,AC,Manoel Urbano,01/05/2022,Dia Do Trabalho
2022,AC,Jordão,01/01/2022,Ano Novo
2022,AC,Mâncio Lima,01/03/2022,Carnaval
2022,AC,Marechal Thaumaturgo,09/09/2022,Dia Da Amazônia
2022,AC,Manoel Urbano,14/05/2022,Feriado Municipal
2022,AC,Jordão,21/01/2022,Dia Do Católico
2022,AC,Jordão,23/01/2022,Dia Do Evangélico
2022,AC,Mâncio Lima,02/03/2022,Carnaval
2022,AC,Marechal Thaumaturgo,12/10/2022,Nossa Senhora Aparecida
2022,AC,Manoel Urbano,15/06/2022,Aniversário Do Acre
2022,AC,Jordão,28/02/2022,Carnaval
2022,AC,Mâncio Lima,11/03/2022,Dia Da Mulher
2022,AC,Marechal Thaumaturgo,15/10/2022,Dia Do Professor
2022,AC,Manoel Urbano,16/06/2022,Corpus Christi
2022,AC,Manoel Urbano,06/08/2022,Revolução Acreana
2022,AC,Jordão,01/03/2022,Carnaval
2022,AC,Feijó,01/01/2022,Ano Novo
2022,AC,Mâncio Lima,15/04/2022,Sexta-Feira Santa
2022,AC,Marechal Thaumaturgo,28/10/2022,Dia Do Servidor Público
2022,AC,Manoel Urbano,06/09/2022,Feriado Municipal
2022,AC,Jordão,02/03/2022,Carnaval
2022,AC,Feijó,21/01/2022,Dia Do Católico
2022,AC,Mâncio Lima,21/04/2022,Dia De Tiradentes
2022,AC,Marechal Thaumaturgo,02/11/2022,Dia De Finados
2022,AC,Manoel Urbano,07/09/2022,Independência Do Brasil
